SampleID,Group,Order,Diet,Metabolite1,Metabolite2,Metabolite3,Metabolite4,Metabolite5,Metabolite6,Metabolite7,Metabolite8,Metabolite9,Metabolite10,Metabolite11,Metabolite12,Metabolite13,Metabolite14,Metabolite15,Metabolite16,Metabolite17,Metabolite18,Metabolite19,Metabolite20,Metabolite21,Metabolite22,Metabolite23,Metabolite24,Metabolite25,Metabolite26,Metabolite27,Metabolite28,Metabolite29,Metabolite30,Metabolite31,Metabolite32,Metabolite33,Metabolite34,Metabolite35,Metabolite36,Metabolite37,Metabolite38,Metabolite39,Metabolite40,Metabolite41,Metabolite42,Metabolite43,Metabolite44,Metabolite45,Metabolite46,Metabolite47,Metabolite48,Metabolite49,Metabolite50,Metabolite51,Metabolite52,Metabolite53,Metabolite54,Metabolite55,Metabolite56,Metabolite57,Metabolite58,Metabolite59,Metabolite60,Metabolite61,Metabolite62,Metabolite63,Metabolite64,Metabolite65,Metabolite66,Metabolite67,Metabolite68,Metabolite69,Metabolite70,Metabolite71,Metabolite72,Metabolite73,Metabolite74,Metabolite75,Metabolite76,Metabolite77,Metabolite78,Metabolite79,Metabolite80,Metabolite81,Metabolite82,Metabolite83,Metabolite84,Metabolite85,Metabolite86,Metabolite87,Metabolite88,Metabolite89,Metabolite90,Metabolite91,Metabolite92,Metabolite93,Metabolite94,Metabolite95,Metabolite96,Metabolite97,Metabolite98,Metabolite99,Metabolite100,Metabolite7_dup,Metabolite86_near_dup
Batch1_Sample_9,Group1,11,Diet9,111890.41,102254.72,121313.95,,125335.46,110788.46,107870.67,73867.41,117311.88,130454.49,127131.96,102334.19,83775.07,98323.88,105643.12,100331.52,139896.37,66514.92,74964.25,87126.93,100309.87,45448.84,91019.56,99494.52,124218.42,110275.53,84500.78,65579.24,109524.35,76524.7,78772.93,95301.8,117503.3,92164.72,67936,66065.95,98181.58,91863.62,59522.64,103975.02,102450.83,82296.94,75398.73,74010.45,72416.34,132065.7,87560.11,110950.68,91014.72,105428.6,98907.81,100189.43,124222.36,156691.15,113677.86,109071.38,59624.91,118688.97,72482.25,113461.46,84541.64,108450.26,142775.35,113583.92,79409.62,124642.52,112687.35,106486.16,86574,89649.95,90420.03,109061.06,115578.9,92993.79,113502.15,110124.88,111623.31,74179.1,105033.67,88585.43,127731.09,73938.97,153790.74,97795.92,113504.38,107955.55,107060.61,104691.03,95196.12,126713.74,116145.31,79322.47,64635.11,115008.96,78967.12,91140.65,75578.34,84005.01,102591.86,112487.67,107870.67,107955.55
Batch1_Sample_10,Group2,12,Diet10,119526.18,85049.53,98365.23,93548.2,135046.24,,100341.89,102474.55,149890.55,117213.71,104598.07,119818.51,77633.88,102147.93,97446.66,96790.67,93288.73,81807.56,72359.74,98513.16,106178.38,79044.4,104819.09,110425.09,91504.27,88992.2,85359.41,68161.47,114898.17,85673.3,101728.51,105001.79,99062.98,98613.86,102736.4,69861.71,85633.43,95772.57,51187.52,99409.86,83775.25,85540.67,78684.47,129104.59,95460.72,108234.99,93354.2,136558.84,81827.76,94424.45,114650.9,82653.96,118784.99,113234.76,97424.74,124253.8,110054.19,99455.69,75804.01,100374.51,59561.95,96088.85,78481.16,112421.31,74816.42,68592.48,95956.87,106913.04,125069.25,115031.66,95842.79,103852.09,59945.83,93050.63,98817.98,79905.22,98516.7,89120.81,94203.07,88935.79,125389.92,98760.08,114657.63,90475.3,90497.9,90789.41,84325.09,86961.01,111045.34,121479.72,100057.07,74053.56,97962.72,120857.06,98504.06,87841.93,82787.65,84540.52,108280.81,143116.26,100341.89,90789.41
Batch1_Sample_11,Group1,13,Diet11,145637.86,98121.46,89710.53,92904.88,108508.47,131847,132977.67,90367.56,103429.72,85112.16,129208.83,113263.26,90829.84,99929.71,75514.23,108752.24,85727.68,57743.8,85695.96,87047.41,125190.91,74724.37,91379.93,115031.94,113957.06,78250.76,96328.54,112307.75,104416.51,76826.92,103878.29,107102.89,122327.74,82231.47,106848.98,94799.59,96242.42,97709.33,52276,93621.69,92658.92,71309.12,80672.03,86961.99,58648.66,109813.2,87282.76,120049.86,91499.08,111268.97,112654.62,67312.91,95605.4,90360.41,85916.17,75654.01,134643.86,103066.72,70257.71,95051.51,80890,109034.11,118305.76,109498.56,99491.33,130215.47,77040.81,125762.98,121087.95,83121.06,86087.35,112466.57,78514.64,90773.6,105536.47,111623.24,108905.66,106187.87,100763,97051.73,106383.03,116483.39,83613.68,104181.18,87777.5,135486.56,98898.71,85291.61,97213.38,104007.83,123493.88,72384.02,91606.41,122335.17,68411.81,92106.02,93553.02,85542.26,114714.29,101034.11,132977.67,135486.56
Batch1_Sample_12,Group1,14,Diet12,113058.75,91676.66,89601.54,,118853.63,113878.79,94248.08,116890.88,168803.38,95222.44,86006.74,106538.62,66801.64,101732.68,101401.78,75093.37,127699.33,69580.62,62848.95,147152.77,102868.91,58388.29,83419.39,110501.43,91539.12,51369.85,86354.5,61628.27,103659.8,91755.76,95352.45,117082.49,105079.91,102396.91,110226.18,89086.02,103635.51,74772.57,62643.35,105568.9,92921.93,100870.69,116654.27,106052.01,89925.32,101328.5,93844.72,110559.18,83523.52,85654.6,84292.68,75171.8,117531.26,108753.81,99482.52,101201.39,120488.29,93797.78,83037.53,100435.8,103707.16,119704.41,107087.87,117913.9,90132.45,110003.7,137774.61,82399.8,120147.94,73592.56,85267.98,93863.24,129526.75,98278,102344.69,82394.51,118517.51,106858.24,100118.8,70787.26,110353.46,109663.92,89782.86,100164.48,89301.93,94466.26,107605.93,101417.99,97310.62,118049.48,94997.21,102983.06,129344.57,97696.03,64490.95,96087.7,85861.19,82280.92,107777.29,115885.18,94248.08,94466.26
Batch1_Sample_13,Group1,15,Diet13,120182.08,91485.09,96365.3,59746.4,121888.41,82224.54,117661.34,105244.65,125126.69,108449.08,130349.06,130705.31,77296.43,99904.97,76457.32,97371.61,108862.09,58552.9,64108.55,140786.17,87341.52,93674.48,94604.71,119649.64,100809.15,103703.03,88949.31,83040.24,77825.5,98246.1,106449.09,92579.45,82516.2,92378.38,107110.27,67184.46,81530.62,93827.68,68056.45,93598.92,109349.37,109856.24,98046.45,96339.26,88972.54,94833.45,92044.6,121285.26,111150.32,88690.91,96726.2,87614.88,110093.13,97575.44,100425.75,69914.58,99813.94,107544.11,63153.44,104699.77,89622.72,112559.91,128037.18,110172.68,97349.2,94915.93,86585.98,127802.56,108956.25,71292.09,71242.72,121780.16,119145.17,80114.73,109720.59,131467.34,120984.04,96459.87,82536.82,85280.75,114376.48,112853.52,133580.39,114587.01,84162.23,104250.91,110708.77,107600.2,115747.41,96199.7,111452.75,97924.8,140412.93,128118.13,66210.93,92411.75,87455.85,86164.11,80050.1,89468.65,117661.34,104250.91
Batch1_Sample_14,Group1,16,Diet14,132117.77,86046.14,106279.69,86231.15,128005.66,115553.19,110396.28,135068.7,126997.38,107850.07,123582.47,136780.94,63759.87,102244.05,81986.39,117548.07,100888.66,80567.11,87396.73,137481.34,103417.74,80571.04,101476.21,138532.38,121264.35,110510.83,95529.52,108172.14,105072.16,86845.62,125025.48,106828.65,132506.26,93812.23,113493.63,103161.24,84899.13,78397.87,42424.45,108838.15,93401.71,79438.76,,98053.1,105494.4,107502.11,94154.5,91176.31,83763.91,106743.86,151316.3,85591.02,143345.65,96911.32,102738.34,106989.95,127512.21,118903.97,78249.23,98854.9,88224.83,113426.58,85917.76,103566.66,93333.3,84480.68,125551.44,112332.87,97936.96,80643.01,89017.82,106694.56,121163.74,96117.95,104733.15,86442.15,114802.16,94704.53,93370.35,69028.31,130264.47,101278.92,144869.53,53676.59,94711.97,115345.62,106900.13,102785.74,74396.97,119852.58,123421.31,108302.04,92845.36,,66949.93,88179.59,82547.48,79910.32,115663.95,122309.82,110396.28,115345.62
Batch1_Sample_15,Group2,17,Diet15,122136.31,86202.31,118704.73,114972.79,115433.78,102721.61,112951.06,117758.41,164485.34,111416.5,102813.39,112246.52,112029.92,108649.24,94716.89,120554.67,77410.53,58740.6,59653.01,138211.61,105376.71,40993.56,94939.08,105367.03,92826.43,89621.04,88231.95,100552.42,127099.83,90978.79,113488.4,105260.05,121700.67,82579.6,119932.62,71192.23,91853.66,95649.39,89187.14,106824.15,117854.66,110526.72,98106.9,117235.71,87823.34,113760.23,88747.89,106329.11,89088.13,86471.31,139448.86,100002.78,108495.72,120222.77,119704.83,90924.19,125118.96,91397.61,79256.12,112222.52,84673.5,83598.14,101209.46,121702.87,130217.52,88242.41,74009.4,91452.3,104451.71,98145.83,74513.47,84644.46,137515.31,91505.59,87086.65,97287.46,135392.38,121658.32,88548.49,115965.39,131073.37,108828.5,113942.42,53979.91,88700.97,95777.09,92726.44,114388.33,79343.35,103272.94,102725.49,67853.08,98642.51,127111.12,102023.7,79003.39,99778.34,71533.51,105482.86,111157.47,112951.06,95777.09
Batch1_Sample_16,Group2,18,Diet16,116841.94,111652.03,112559.06,97547.3,134926.29,108374.5,118094.56,116085.37,124648.32,112329.81,107843.14,131362.65,92425.62,98786.04,105552.82,113961.61,132979.34,70751.31,88583.63,104420.49,117491.52,83852.76,118907.65,77853.7,141835.7,120072.91,85506.73,102591.02,146034.93,88955.44,106402.16,97039.36,107043.39,91884.9,94549.61,101045.02,98490.13,76501.03,84269.05,117392.14,119841.93,82361.8,128946.33,110581.99,112023.53,95423.72,104468.06,97177.17,88016.08,99152.03,108925.36,112182.87,97774.67,62288.89,92130.1,102258.78,121441.28,88054.88,80009.66,107540.76,92828.56,108341.7,96454.53,122597.92,111377.52,75253.32,120793.04,94852.29,117589.01,100874.77,78178.43,114299.78,124129.26,108719.95,94635.69,91495.79,101667.05,114514.21,98300.15,104697.03,125928.68,97016.55,87501.43,114847.25,104204.55,89404.22,88194.04,112716.39,124522.97,128705.78,112783.77,95164.44,129781.25,118069.52,78313.69,106359.01,100963.91,87481.73,100885.69,105403.94,118094.56,89404.22
Batch1_QC_3,QC,19,Diet17,124437.98,108868.51,108933.52,117907.84,133034.5,100165.36,122491.29,116893.32,127216.22,89722.43,114454.63,128634.6,85665.44,104782.82,100127.35,114838.66,101884.01,82151.76,72459.48,116496.41,104445.51,79870.41,96965.56,114004.02,121348.43,88283.33,101360.01,81424.97,109597.06,89403.11,106806.5,109125.85,111213.05,90412.38,112503.37,83673.84,92851.36,97996.62,82544.97,111578.86,106407.65,105303.64,91231.41,97244.13,84042.85,108601.75,92312.46,125594.55,85029.84,116937.98,96779.72,83036.67,114239.74,112362.96,110562.73,106437.1,107892.38,104086.33,76845.37,107415.49,103868.11,126132.44,110460.52,121195.62,107663.22,115692,111200.84,117154.79,115262.09,111355.01,96962.18,96111.92,109877.7,90917.29,105663.67,107583.04,132452.05,111686.96,101185.58,92422.08,112045.86,111731.21,96222.99,103989.44,82949.37,108392.71,104633.31,116772.78,116988.71,108727.92,123963.92,100501.02,105517.51,114672.13,88118.45,87136.88,97693.57,84011.88,101888.36,114446.42,122491.29,108392.71
Batch1_Sample_17,Group1,20,Diet18,115900.62,88029.5,76514.71,87298.49,117276.38,110963.98,126401.09,90970.88,128871.01,101845.89,98963.07,134435.1,71676.21,89885.29,106193.7,118182.07,104495.72,69355.81,80476.43,55495.65,109404.16,83569.03,121991.62,105831.93,100532.74,74216.17,97617.62,76910.67,96357.44,88214.22,98878.25,99790.71,89137.87,93131.38,119403,88443.57,99960.48,44924.89,42507.97,106065.02,83369.67,104259.52,125470.12,98705.59,91441.18,65723.53,104470.77,121709.22,87551.2,107400.94,141819.75,101926.55,125317.41,112074.99,98506.09,116016.58,37887.63,98090.17,67006.3,112065.84,107621.23,105578.93,83954.25,77642.88,105550.8,129117.23,108656.89,131937.95,100470.84,73503.26,96789.28,89865.04,140194.1,71640.29,115022.51,122271.87,96584.66,109547.96,114044.89,54398.29,109215.74,122525.54,101473.75,92824.59,109645.77,121450.15,106497.29,103777.53,131970.73,100808.49,120471.31,96633.94,99490.79,105022.19,72148.33,85821.47,78410.4,97852.43,125344.23,111914.93,126401.09,121450.15
Batch1_Sample_18,Group2,21,Diet19,98645.08,104850.23,97189.07,122014.56,100065.02,78810.46,123381.03,115195.89,145789.53,122348.78,169285.7,140425.65,78286.82,103721.47,91437.97,99823.81,101383.08,76755.52,87669.4,98924.61,67318.72,74720.95,122792.9,96876.27,138145.37,101833.54,105355.49,94960.99,118031.09,86307.59,96783.31,108971.69,86567.46,112388.92,104957.88,96205.71,76190.69,86368.97,103478.86,108042.71,93940.38,94830.7,119235.28,125690.69,74605.45,93580.39,96247.88,113943.1,81076.19,100929.6,110776.1,96077.91,104183.84,115432.27,111511.14,107214.37,126031.22,92431.14,74677.9,120760.69,97220.43,98723.03,100720.6,111978.88,116544.21,80906.54,125564.85,130831.21,113668.99,130087.27,89192.47,105392.39,92704.13,114876.62,94273.12,81714.54,108515.97,87146.58,108260.98,40319.48,107256.46,99531.74,82346.23,111153.25,94604.95,96168.63,89034.37,97228.98,107150.47,136595.77,119398.12,96582.96,117859.19,112768.96,89265.87,72770.16,87219.34,82047.96,50095.78,98575.43,123381.03,96168.63
Batch1_Sample_19,Group2,22,Diet20,105300.97,86036.63,100829.36,62087.51,145231.97,102939.02,136682.11,113653.08,153980.98,87981.45,131585.32,131451.27,72871.07,81664.3,97688.8,110264.38,151079.29,62831.33,91533.69,118848.76,126498.63,81148.18,78057.8,126332.62,125224.42,82268.27,99335.19,87904.93,119095.76,91913.21,90100.16,124019.07,108827.56,104729.66,119371.49,74508.46,85373.75,84451.67,42207.57,103824.32,109124.06,147082.96,96961.48,124608.57,84747.53,102192.91,102488.98,111295.01,100017.16,91061.53,88810.32,94311.42,118085.1,98786.76,97664.11,103153.65,179302.31,99162.26,62383.49,90714.38,94090.88,117445.53,59546.4,102910.93,94453.97,114203.27,107780.87,84213.68,107733.01,58479.39,99144.36,106113.13,119041.2,100124.8,95396.43,103574.41,130185.7,80158.83,99131.41,50720.54,133577.36,86416.77,106423.93,110305.07,93658.75,89833.65,112420.6,95038.29,114577.04,112154.07,131203.26,56448.67,110715.8,120269.36,120713.8,89901.77,68178.83,80500.99,71519.53,134170.05,136682.11,89833.65
Batch1_Sample_20,Group2,23,Diet21,106514.43,90756.72,95254.58,111069.16,120793.31,105707.84,120003.88,92706.98,102561.97,68730.96,116048.02,81113.95,99802.44,93727.42,117555.08,147450.05,82240.73,63889.8,78350.95,119301.37,95946.37,93971.63,113345.34,106326.63,104412.46,101284.61,113283.63,45358.99,108527.44,87453.24,101967.95,102965.38,90811.15,89207.63,129113.14,71408.22,88019.07,66798.19,98717.97,114446.07,110585.72,116571.94,71906.7,126098.87,107615.58,112218.46,102744.65,101768.16,104756.19,81074.36,101483.07,91489.94,112602.1,109623.66,99724.69,85094.56,66346.06,89247.92,51911.61,101563.36,74177.97,96374.2,98763.68,96056.34,94283.48,112388.34,91372.65,118025.07,113127.34,93219.37,78545.43,111339.17,140518.17,85077.91,102845.17,126737.53,118960.76,124724.37,88884.65,76786.35,114064.42,106800.58,73213.93,111399.68,67156.5,102980.62,104341.76,113175.31,127249.31,95612.8,118982.47,102217.92,116530.51,111418.55,91827.93,76199.24,94327.79,75727.06,103761.75,106264.86,120003.88,102980.62
